# Streamlit Community Cloud picks the requirements file closest to the app's
# entry point (dashboard/app.py) when more than one exists in the repo -
# confirmed from a real deploy's build log: it silently used this file
# instead of the root-level requirements.txt, which used to be the only
# complete one. Previously this file only listed `streamlit`, which meant
# the actual project package (and everything the full live loop needs) was
# never installed on that deployment, causing
# "ModuleNotFoundError: No module named 'evaluation'" the moment
# workflow_adapter.py tried to import it.
#
# Deliberately NOT using `-e .` / `-e ..` here: that requires resolving a
# relative filesystem path, which depends on pip's current working
# directory at install time - not guaranteed to match this file's own
# location, and not reliably knowable across hosting platforms. Instead,
# this lists the real third-party dependencies flat; the project's own
# src/ packages (evaluation, agents, protocols, ...) need no install step
# at all, since dashboard/app.py inserts the cloned repo's src/ directory
# directly onto sys.path before importing anything that needs it.
streamlit>=1.40,<2
requests>=2.31,<3
pydantic>=2.7,<3
numpy>=1.26,<3
pandas>=2.1,<3
yfinance>=0.2.40,<1
langgraph>=1.2,<2
langgraph-checkpoint-sqlite>=2.0,<4
aiosqlite>=0.20,<1
openpyxl>=3.1,<4
openai>=2.15,<3
anthropic>=0.100,<0.101
python-dotenv>=1.0,<2

